category,room_count,bathroom_count,size,type,price,city,region,log_price
Appartements,2,1,80.0,À Louer,380.0,Ariana,Autres villes,2.57978359661681
Vacation Rentals,1,1,90.0,À Louer,70.0,Ariana,Autres villes,1.845098040014257
Appartements,2,2,113.0,À Vendre,170000.0,Ariana,Ariana Ville,5.230448921378274
Vacation Rentals,1,1,70.0,À Louer,80.0,Ariana,Autres villes,1.9030899869919435
Appartements,2,1,100.0,À Louer,670.0,Ariana,Borj Louzir,2.8260748027008264
Locaux industriels,2,1,20.0,À Louer,650.0,Ariana,Borj Louzir,2.8129133566428557
Locaux industriels,1,1,40.0,À Louer,450.0,Ariana,Ariana Ville,2.6532125137753435
Villas,5,3,220.0,À Louer,2000.0,Ariana,Chotrana,3.3010299956639813
Appartements,3,2,138.0,À Vendre,340000.0,Ariana,Jardins D'el Menzah,5.531478917042255
Villas,2,1,150.0,À Vendre,120000.0,Ariana,Raoued,5.079181246047625
Appartements,3,1,180.0,À Louer,300.0,Ariana,Borj Louzir,2.4771212547196626
Appartements,3,1,250.0,À Louer,500.0,Ariana,Ariana Ville,2.6989700043360187
Appartements,2,1,80.0,À Vendre,230000.0,Ariana,Ennasr,5.361727836017593
Locaux industriels,1,1,20.0,À Vendre,55000.0,Ariana,Borj Louzir,4.740362689494244
Appartements,2,1,80.0,À Louer,400.0,Ariana,Ghazela,2.6020599913279625
Appartements,4,2,200.0,À Vendre,440000.0,Ariana,Ennasr,5.643452676486188
Villas,4,2,130.0,À Vendre,125000.0,Ariana,Autres villes,5.096910013008056
Villas,2,1,150.0,À Vendre,170000.0,Ariana,Ghazela,5.230448921378274
Appartements,4,1,160.0,À Vendre,310000.0,Ariana,Autres villes,5.491361693834273
Appartements,2,1,89.0,À Vendre,136000.0,Ariana,Borj Louzir,5.133538908370218
Appartements,2,1,94.0,À Vendre,185000.0,Ariana,La Soukra,5.267171728403014
Appartements,1,1,79.0,À Vendre,146150.0,Ariana,Ghazela,5.164798819693456
Villas,4,2,320.0,À Vendre,265000.0,Ariana,Ghazela,5.423245873936808
Villas,3,1,130.0,À Louer,1250.0,Ariana,Ennasr,3.0969100130080562
Appartements,3,1,157.0,À Vendre,340000.0,Ariana,Ennasr,5.531478917042255
Locaux industriels,1,1,330.0,À Vendre,1550000.0,Ariana,La Soukra,6.190331698170292
